"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C3","100nF","TopLayer","0402_capacitor","13.8750","17.7000","0","0402 smd capacitor"
"R1","220","TopLayer","0402_resistor","7.6500","18.1000","180",""
"D2","WLED","TopLayer","LED_KT-0603R","7.4924","19.2012","180","Red 0603 Light Emitting Diodes"
"USB1","USB A CONNECTOR","TopLayer","USB_A_CONNECTOR_RECESSED","9.5000","22.0001","0",""
"L2","11nH","TopLayer","0402INDUCTOR","11.7000","1.7000","90",""
"L1","9nH","TopLayer","0402INDUCTOR","10.0750","2.1250","0",""
"D1","USBLC6-2P6","TopLayer","FP-SOT-666-MFG","16.1250","19.0500","0","TVS DIODE 5.25V 17V SOT666"
"IC2","AP2112K-3.3TRG1","TopLayer","SOT95P285X140-5N","3.3000","2.0750","0","Integrated Circuit"
"IC1","BT850-ST","TopLayer","BT850-ST","9.5350","12.5950","180",""
"C2","1uF","TopLayer","0402_capacitor","4.1000","4.3750","180","0402 smd capacitor"
"C1","1uF","TopLayer","0402_capacitor","2.1750","4.3750","0","0402 smd capacitor"
"ANT1","2.4GHz antenna","TopLayer","2.4GHz_antenna","16.3000","1.8250","0",""
